name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,x-website rating,x-status_last_modified,id
Foothills Food Bank ,,Vetted,Foothills Food Bank re-vet,Whatcom County,(360) 392-8149,http://www.foothillsfoodbank.org,"Provides fresh and frozen produce, dairy products, meat, proteins, canned and dry goods, and bread. When available, items like baby food, vitamins, hygiene items, and vegetable starts also provided. Please bring your own bags or boxes.","Foothills Food Bank,Foothills Food Bank Mobile Food Pantry,Foothills Food Bank Home Delivery,Foothills Food Bank Winter and Spring Pantry",,Foothills Food Bank,5,2022-3-23 11:48am,recjoDywMzrubltNO
Generations Forward,,Vetted,Generations Forward,Whatcom County,,https://www.generationsforward.net/,"A collaborative of Whatcom families and community partners that strive to support children and family well-being through relationship building, education and co-learning, and policy advocacy.",Dads/Men's Support Group,info@generationsforward.net,,3,2023-2-15 3:45pm,recsU5ShypaODfiTK
Goodwill Job Training and Education Center ,,Vetted,"Goodwill Job Training and Education Center,Goodwill JTE re-vet",Whatcom County,(360) 738-0483,https://evergreengoodwill.org/job-training-and-education/training-center-locations/whatcom-county-job-training-and-education-center,"Goodwill offers job training and education programs to people in the community, as well as help finding a job, all completely free.","Job and Career Workshops - Goodwill,GED/High School Completion Classes - Goodwill,Job Readiness Lab - Goodwill,English for Speakers of Other Languages (ESOL) Classes  - Goodwill,Digital Skills Classes - Goodwill",,Goodwill Job Training and Education Center,5,2022-10-18 2:53pm,recONm2m2podj7yyc
Grief Share,,Vetted,"Grief Share,GriefShare re-vet",Whatcom County,"(800) 395-5755,(919) 562-2112",www.griefshare.org/,Seminars and support groups  led by people who understand grief and want to help. ,Grief Recovery Support Groups,info@griefshare.org,,5,2022-9-22 11:28am,recuM2gJJpCqG98Ae
Habitat for Humanity,,Vetted,"Habitat for Humanity,Habitat re-vet",Whatcom County,(360) 715-9170,http://www.hfhwhatcom.org/,"A non-profit organization committed to eliminating substandard housing through the building of safe, decent, affordable homes with partner families.","Habitat for Humanity Housing Help,Habitat Store,NRI - Critical Home Repair Program",,"Habitat Store,Habitat for Humanity Office",5,2022-10-26 2:16pm,recy62KtkkwJQEJyJ
HireQuest Inc.,Command Center,Vetted,"HireQuest,HireQuest re-vet",Whatcom County,(360) 676-1666,http://www.commandonline.com/,"Temporary workforce hiring and professional recruiting solutions.  Industries include construction, light industrial, healthcare, hospitality, CDL/non-CDL, disaster restoration, and more.",HireQuest,,HireQuest Inc.,4,2022-10-20 4:39pm,recbI1eQ3DqXLrmaM
Hope and Thrive Counseling ,,Vetted,Hope and Thrive Counseling,Whatcom County,(360) 383-8682,https://www.hopethrivecounseling.com ,"Hope and Thrive Counseling Center provides a variety of therapy services to individuals, couples, and families.","Depression Counseling - Hope and Thrive Counseling,Anxiety Counseling - Hope and Thrive Counseling,Trauma Therapy - Hope and Thrive Counseling,Children and Teens Counseling - Hope and Thrive Counseling,Perinatal Counseling - Hope and Thrive Counseling,Brainspotting Therapy - Hope and Thrive Counseling,Christian Counseling - Hope and Thrive Counseling,Autism Counseling - Hope and Thrive Counseling",info_admin@hopethrivecounseling.com,"Hope and Thrive Counseling Center Bellingham,Hope and Thrive Counseling Center Lynden",4,2022-11-16 4:20pm,recLzaxMm8HQiGLbx
Hope House,,Vetted,Hope House re-vet,Whatcom County,(360) 671-8702,https://www.assumption.org/hope-house.html,"Basic Needs provided free of charge to those in need in our community. Resources include clothing, household goods, toiletries, cleaning supplies, diapers, emergency food, and more. 
",Hope House,,Hope House,4,2022-3-23 11:50am,recNkEG5A343eE2Ub
Ideal Option,,Vetted,Ideal Option,Whatcom County,(877) 522-1275,https://www.idealoption.com/bellingham,"Outpatient addiction medicine clinic providing evidence-based treatment for addiction to opioids and stimulants, as well as medication-assisted treatment for alcohol withdrawal and relapse prevention.  

",Ideal Option,,Ideal Option,5,2022-12-8 12:35pm,recSU9MREjuEryTHZ
Interfaith Coalition,,Vetted,"Interfaith Coalition,Interfaith re-vet",Whatcom County,(360) 734-3983,https://www.interfaith-coalition.org/,A community of many faiths working together to eliminate homelessness and poverty in Whatcom County.,"Family Promise,CAST,Interfaith Coalition Winter Warmth Drive",,Interfaith Coalition,5,2022-3-31 4:21pm,recO9fMLaJnIfTDPk
Kaleidoscope Play and Learn Group,,Vetted,"Kaleidoscope Play and Learn Group,Kaleidoscope re-vet",Whatcom County,(360) 332-1300 ext. 1641,https://www.brightspark.org/kaleidoscope-play-and-learn/,"Gathering spaces for caregivers, parents, and young children to meet with others in their community and learn about fostering healthy child development and school readiness. ",Kaleidoscope Play and Learn Groups,tbaas@blainesd.org,Kaleidoscope Play and Learn Group,5,2022-10-20 7:14pm,rec7ZQS6lV92IgG6p
Kelly Services Bellingham,,Vetted,Kelly Services,Whatcom County,(360) 647-2207,https://www.facebook.com/profile.php?id=100068630361584,"A local division of Kelly Services, providing staffing support and jobs.",Kelly Services,,Kelly Services,2,2023-2-8 6:37pm,recpu6eEVIUOpc7Yn
Kids in Motion Therapy Clinic,,Vetted,"Kids in Motion Therapy Clinic,Kids in Motion re-vet",Whatcom County,"(360) 933-8076,(360) 207-4434",www.kidsinmotionclinic.org/,"Provides physical, occupational and speech therapy for children with neurodevelopmental disorders. Offers both center-based (located at Christ the King Community Church, Bellingham) and home-based therapy services to support the development of successful strategies for daily living. ","Kids in Motion Physical Therapy ,Kids in Motion Occupational Therapy,Kids in Motion Speech Therapy",pr@kidsinmotionclinic.org,"Christ the King Community Church Bellingham,Kids in Motion Therapy Clinic",4,2022-10-3 2:19pm,rectE7ULTUiVuquRK
Kids Korner Learning Center ,,Vetted,"Kids Korner Learning Center ,Kids Korner re-vet",Whatcom County,"(360) 734-3858,(360) 734-4255",kidskornerlearningcenter.net/home,"Fulltime childcare for children ages 1 to 5 years, provides Head Start services, toddler and preschool curriculum, meals included, accepts Working Connections Child Care (DSHS).    ","Kids Korner Toddler Program,Kids Korner Preschool Program",kdskrnr1903@yahoo.com,Kids Korner Learning Center ,4,2022-9-29 5:07pm,recEoZscI9HHjgXwr
Kulshan Community Land Trust ,,Vetted,"Kulshan Community Land Trust,KCLT re-vet",Whatcom County,(360) 671-5600,www.kulshanclt.org/,Works to create healthy communities through permanently affordable homeownership. Also offers home buyer financial and education classes.,"Homeownership Program - Kulshan CLT,Homebuyer Education Class - Kulshan Community Land Trust,Housing Counseling - Kulshan Community Land Trust",info@kulshanclt.org,Kulshan Community Land Trust,5,2022-10-11 1:34pm,recSgUXNwUf1utVSO
Lake Whatcom Center ,,Vetted,"Lake Whatcom Center,Lake Whatcom Center re-vet",Whatcom County,(360) 676-6000,http://www.lwrtc.org ,Licensed not-for-profit organization providing an array of residential and community mental health services to adults with severe and persistent mental illness in Whatcom County and surrounding communities.,"Assisted Living - LWC,Residential Treatment - LWC,Independent Living - LWC,Community Case Management - LWC,IOP Program - LWC,PACT Program - LWC,HEART - LWC,Therapy - LWC,Employment Services - LWC",,Lake Whatcom Center,5,2022-11-1 1:24pm,recwUK5IHOwoaC2sK
Law Advocates  ,,Vetted,"Law Advocates,Law Advocates re-vet",Whatcom County,(360) 671-6079,http://www.lawadvocates.org/,Provides free civil legal assistance to low-income Whatcom County residents by linking them with attorney and community volunteers.,"Tenant Clinic,Consumer Debt Clinic,Assistance for Victims of Scams or Fraud,Street Law Clinic,Homeless / Unsheltered Legal Outreach,Veteran Advocacy,Kinship Custody Clinic,Simple Wills Clinic,Whatcom Civil Rights Project",,Law Advocates,4,2022-10-5 4:36pm,recK72whAqFEUeYjZ
Lifeline Connections,,Vetted,"Lifeline Connections - Youth Services,Lifeline Connections - Adult Services,Lifeline Connections re-vet",Whatcom County,(360) 922-3030,https://lifelineconnections.org/,Behavioral health organization that specializes in providing care to individuals who experience substance use and/or mental health conditions.,"Lifeline Connections Family Therapy,Camp Mariposa,Medication Assisted Recovery (MAR) - Lifeline Connections,Substance Use Disorder (SUD) Services - Lifeline Connections,""Mental Health Outpatient Services - Lifeline Connections
"",Peer Pathfinder Program - Lifeline Connections",info@lifelineconnections.org,Lifeline Connections,4,2022-10-13 2:54pm,recm9btxu2vmlVay3
Lighthouse Mission Ministries,,Vetted,"Lighthouse Mission,LMM re-vet",Whatcom County,(360) 733-5120,http://www.thelighthousemission.org/,"Faith-based organization providing shelter, meals, and compassionate services to people of Whatcom County in need.","Good Neighbor Project,Shower Connect,Base Camp,Ascent Program,Agape Home",,"Lighthouse Mission Ministries,Base Camp",4,2022-10-6 12:23pm,recgJP3Q6DtmaTUqv
Loaves and Fishes Community Meal,,Vetted,"Loaves and Fishes,Loaves and Fishes re-vet",Whatcom County,(360) 734-4500,http://firstbaptistbellingham.com/connect/tuesday-meal,Free hot meal served weekly. ,Loaves and Fishes Community Meal,,First Baptist Church,5,2022-3-31 3:59pm,recguZBwnv8Ibwk72
Love INC,Love in the Name of Christ,Vetted,"Love INC,Love INC re-vet",Whatcom County,(360) 671-6201,https://www.whatcomloveinc.org,Works to connect neighbors in need with people from local churches who can help. ,"Love INC,Ride Help Network",,,5,2022-10-6 12:44pm,recYETvSQQReCYqEV
Lummi Nation ,,Vetted,Lummi Nation ,Whatcom County,(360) 312-2000,www.lummi-nsn.gov/Website.php?PageID=215,Lummi Nation provides a variety of supportive services to Lummi Tribal members. ,"Lummi Children's Services,Lummi Community Services,Lummi Nation Housing Authority,Lummi Food Bank,Lummi Tribal Health Center,Lummi Tribal Dental Clinic,Lummi Tribal WIC Program,Lummi Victims of Crime",,,,2022-11-22 4:35pm,rechNaHcGIrBhxxpk
Lummi Nation School,,Vetted,Lummi Nation School re-vet,Whatcom County,,https://www.lns-onlinelearning.org,Tribal school for grades K-12.,McKinney-Vento Program - LNS,,,3,2022-3-23 11:07am,recckyezov79NJVBs
