,name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,x-website rating,x-status_last_modified,id
10,Western Washington University Counseling Training Clinic,,Vetted,['recO7VrZPUqJEri1m'],Whatcom County,['recMw6vWCOXdBomB8'],https://chss.wwu.edu/psychology/counseling-training-clinic,"Individual counseling for adults, adolescents, children, and is provided by graduate students in training, closely supervised by faculty of the Psychology Department.",['recljrndiOrBcTWcM'],,['recZIyB1MHcUTv1mO'],4.0,2022-11-16T22:27:58.000Z,rec407XfzxJCJOllr
11,Bellingham Food Bank,,Vetted,['recXId7TAL9vi8bSJ'],Whatcom County,['recV4Pxi88s6JdL9h'],http://www.bellinghamfoodbank.org/,Provides free groceries to anyone in Bellingham. Up to two visits per week allowed per household. Pick up for up to two households per visit.,['recUCHDdd2Ul7xpik'],"info@bellinghamfoodbank.org
","['recvzYYKo0hG4nM2c', 'recVpucL2kBv9NpSN']",,2022-12-08T15:23:00.000Z,rec47JDzJHPJqdaTK
12,NeedyMeds,,Vetted,"['recPOvzGlZ4vWlOKR', 'recaX12PdIwGNkdLz']",National,,https://www.needymeds.org,"An online resource with information on programs that provide assistance to people who are unable to afford their medications and health care costs. All information is free, easy to access and updated regularly. ",['recGHiubl1R1FMGUD'],,,5.0,2022-09-20T14:47:12.000Z,rec4MF54khK0yMrh2
13,Rebound of Whatcom County,,Vetted,"['recFsHH3QlTqmBp7F', 'rec9WmKcTNkFIIVdG']",Whatcom County,['rec6kZxreiS8xZlAl'],http://reboundfamilies.org/,"Provides services that meet the needs of children and families dealing with poverty, domestic violence, homelessness and abuse.","['recqLQWsHRerK1mlw', 'rec2YRGLIWOcWooxc', 'recDkXtELWRwfOFGJ']",info@reboundfamilies.org,['recoXKDWjFN6H7cY7'],4.0,2022-10-19T15:37:07.000Z,rec4P3bWLzFWQv3ua
14,Mount Vernon VA Clinic,,Vetted,['reco53jV8DeiYvPTD'],Washington State,['recsVrd3D0LXSAmhC'],http://www.pugetsound.va.gov/docs/Mount_Vernon_CBOC_Handout.pdf,"Outpatient clinic offering primary care and specialty health services for Veterans, including mental health care, dentistry, laboratory services, social work, women's care, and more.","['reclJeUzO4raRi17U', 'recJnK0gwICzCUar4', 'recY9iS30KQbZ4qgE', 'recNDrtcTNzyaVfaF', 'rec4ijdiY3g8RKdPi', 'recJQWQP5XqEkSiKC', 'recPNE1kFCclHzNaD']",,['recSQItIgdq9L54Iz'],5.0,2022-12-06T21:31:09.000Z,rec4P8DG50o5bM6fu
15,Parent Trust for Washington Children,,Vetted,"['recRxc3ouxSO2pfwm', 'recZxpJiJDVZZvQeK']",Washington State,['recJy1iKOdbcdjboR'],https://www.parenttrust.org,"A statewide resources that equips parents and caregivers to raise safe, healthy and strong children.",['recLkmYEicERqSzIH'],information@parenttrust.org,,5.0,2022-09-27T18:51:44.000Z,rec4VEGc8in2PdRID
16,Blaine Food Bank,,Vetted,['recf7ZcTY9l0Q5phG'],Whatcom County,['rec87YVTFiDeMylqF'],www.blainefoodbank.org,"Provides food to Blaine, Custer, Birch Bay, and Semiahmoo residents. Households can visit up to twice per week.","['recAKC0Hq8Ihi1vBx', 'recDuKtzyzJim5CWF', 'recEX9LJzQT11IJqc']",blainefood@hotmail.com,['rechT5QSFezCeL6eD'],5.0,2022-03-23T17:44:16.000Z,rec5T1hKkiBje5h2Q
17,Washington Women In Need,WWIN,Vetted,['recsNdCYrzqvi2Lgc'],Washington State,['recFGSysZNvNMDwJF'],http://www.wwin.org/,Empowers women in Washington State to achieve economic stability through higher education and living wage careers.,"['recRlsxoLRDIlsy57', 'recsQLLAJRwjUD2qV']",,,5.0,2022-12-07T23:32:16.000Z,rec5p45tCzeqJpNLm
18,City of Bellingham,COB,Vetted,"['recwkJ5a0k7vWUDBC', 'recBpTXPA7oFdpTNU', 'rec4R3lXYACksIWlM']",Whatcom County,['rec1EDKIkVnHiWjEM'],http://www.cob.org,"Local government for Bellingham, WA.","['rec8yLsiHAYHoKlhn', 'recYSXHi7oGv3pYk5', 'reckTRTs4L0w73Z3b', 'recYUb66CdDAqC7BQ', 'recdTJW8S52QjZ5qY', 'recklfIlqtCb6JYHj']",info@cob.org,['recWARjeXaIxCxpRw'],5.0,2022-10-05T19:26:09.000Z,rec68UXj6umn1aDXc
19,National Domestic Violence Hotline ,,Vetted,['recchqdg1CT1AIzum'],National,['recnWuac3pnsVo7uX'],http://www.thehotline.org/,"Free, confidential, and compassionate support, crisis intervention information, education, and referral services in over 200 languages available 24 hours a day, 7 days a week, 365 days a year.
",['reczIQljwd1BI04wk'],,,5.0,2022-12-08T22:37:23.000Z,rec6CKirbFkG7aY53
20,"Hearing, Speech and Deaf Center (HSDC)",HSDC,Vetted,['recdnpr1ozJGWdczV'],Washington State,"['rec87F39mrFbQ7yxc', 'recTFuziHthAaiVGR']",http://www.hsdc.org/,A comprehensive array of programs that foster effective communication for individuals and families affected by hearing or speech differences. ,"['recEdGsbJ9swfKIbt', 'recRoyaoRdGEecRpp', 'recg1yvMIJaxEFgnr', 'recfgtuk4U9cWO70T']",bellingham@hsdc.org,['recKWIgk2TIaPdP8W'],5.0,2022-12-05T17:32:49.000Z,rec6Lsjtx7SuD4tFY
21,Washington 211,,Vetted,['recWWvca6MNKrgmwM'],Washington State,['recyhip87dC11NavP'],https://wa211.org,Dial 2-1-1 from anywhere in Washington State to get connected to local services.,['rec1VB4febPmPwLya'],,,5.0,2022-11-23T17:16:53.000Z,rec6SDSJgOGxaoA4S
22,Unity Care NW,,Vetted,"['recfDnD0uGImzx4Ck', 'rec8vmo1Da4Jxlr3S']",Whatcom County,['recLnQeDPnLZ7i6N1'],https://unitycarenw.org,"A local, non-profit health care provider that is part of a national network of community health centers. Aims to improve access to health care for everyone, regardless of insurance status or ability to pay.

","['recdlEWpVbIeLo7y7', 'recFK77FyjQPdMNNr', 'recfYBTAsYxzYkyVs', 'recOzgLMiNHKmiBAK', 'rec1DhaHj8sJ4SctU', 'recRYlvYrFWYcOHwd']",,"['recfm8oaXGKIu6SS0', 'recPTjQSHhOecMwfp', 'recLcEtxsUE5zQKPx', 'recRWkfQjHuYTJi32']",5.0,2022-03-31T22:31:58.000Z,rec7Szg02iQIzB3eC
23,Kaleidoscope Play and Learn Group,,Vetted,"['recA1Kt1DqLO2jYuo', 'recSQ3gf6xEczBBfL']",Whatcom County,['recnlZrDZTy9tPze5'],https://www.brightspark.org/kaleidoscope-play-and-learn/,"Gathering spaces for caregivers, parents, and young children to meet with others in their community and learn about fostering healthy child development and school readiness. ",['recSonKelQbiKDRef'],tbaas@blainesd.org,['recxIOCX6isu0dOO8'],5.0,2022-10-21T00:14:59.000Z,rec7ZQS6lV92IgG6p
24,American Red Cross Northwest Region,Red Cross,Vetted,"['recUkifTuOrz37L9I', 'rec1033MROVTObWks']",Washington State,['recWTdCGz0vr6Ope9'],https://www.redcross.org/local/washington.html,"Brings together local volunteers to care for their neighbors, trains hundreds of thousands of people each year in life-saving skills, and responds to local disasters.",['recQRGuXRr5NtosvV'],,['recFNsNp3shm1hZCl'],5.0,2022-10-13T17:56:43.000Z,rec7mTv2QIygynwyU
25,Sumas Senior Center,,Vetted,"['recKXpdzKUlbqZo5a', 'reccAX76IinJG21AB']",Whatcom County,,https://www.whatcomcounty.us/3985/58637/Sumas-Senior-Center?activeLiveTab=widgets,"A warm and friendly place for seniors and other members of the community to gather for food, fun and community events each week. *NOTICE* The Sumas Community Center is currently closed due to flood damage. Seniors are welcome at the Everson center for meals and activities. ",['recSJUoBFwf0R58Ck'],,['recHd8W8iXZcJkO77'],3.0,2022-11-04T16:28:22.000Z,rec8JnAWqi1nXBVGQ
26,Whatcom County Library System,WCLS,Vetted,['reciMc7HAOXemMIYf'],Whatcom County,['recFpILXGHPqWGG6T'],http://www.wcls.org,"Library system for Whatcom County with branches in Blaine, Deming, Everson, Ferndale, Lummi Island, Lynden, Maple Falls, Point Roberts, South Whatcom, and Sumas. ","['reczOyovH31gjAg1a', 'rec9bxGoRwOCxcB4K', 'recM7dVrhLVvWQhEk', 'recWSMRPnCKUx1WEU', 'recGTqJat8SODxyEp', 'recQzUGPxP4G70hp9', 'recW7t72sDnr4S2tb']",,"['rectDBMKLwuTbZD7P', 'rec14rhsQwS3dEFE2', 'recrSkRR1Qk1a6NNi', 'recpjCL9nEv5tcC2D', 'rec0xWhhSdLZQCGbl', 'recvs9qrgAryBHlSW', 'rec4A2t1vfhPAZbXj', 'recYXKkfQneM1mhpK', 'recvUUkk0zhkYlyxL', 'recCyM6OfxpT7r2Ji', 'reca4YjJVysgk7146']",5.0,2022-07-14T17:12:50.000Z,rec994MkJgmx9DC87
27,IRIS,Immigrant Resources and Immediate Support,Vetting In Progress,,Whatcom County,,https://irisnw.org,"Responds to the urgent and unmet needs of immigrants in our communities in Whatcom, Skagit and Snohomish counties in an inclusive and comprehensive manner. IRIS connects immigrants with needed resources, and provides funding for items and services that are not accessible to this marginalized population.",['rechnoSTotGOQhnBv'],info@irisnw.org,['recB8iV646qkd99Cf'],,2023-04-27T15:16:18.000Z,rec9HNmw9uVkPipWq
28,Whatcom County Alcoholics Anonymous (AA),AA,Vetted,['rec7SfB5e1orwbjoV'],Whatcom County,"['reclNF9lILBhfKxBi', 'recQEGDSLbIYqoJgD']",http://www.whatcomaa.org/,"Alcoholics Anonymous is a fellowship of people who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism.","['recUojGl9w7LHNpF9', 'recWGPbky5uegAR7W']",,,5.0,2022-12-08T00:04:08.000Z,rec9xw5yCbW0WZNN7
29,Washington State Hands and Voices,,Vetted,"['rec5F8s12WMoUVX0h', 'recGXAp0eh2VIVsy0']",Washington State,['recfCgma3etBfVMxH'],https://wahandsandvoices.org,"A parent-driven, non-profit organization, providing families with resources, networks, and information needed to improve communication and educational outcomes for their children who are deaf or hard of hearing.","['recraSjIzLQW9vKxY', 'recns3cyXBimcT7AY']",info@wahandsandvoices.org,,5.0,2022-09-21T22:20:41.000Z,recA7nuuKHUpWxoM6
30,National Runaway Safeline,,Vetted,['recAWxmCCYBfRlWQV'],National,['recysE17v6ZMtLNMe'],https://www.1800runaway.org,"Responds to youth and families in crisis, serving as the national communications system for runaway and homeless youth. ","['recu7iot4n1zNk4Gj', 'recDqPyaB3gkIoAWg']",,,5.0,2022-12-08T20:34:15.000Z,recAK8utBu7xIsKEP
31,Village Circle Group Peer Support,,Vetted,"['recok0vKAg923YueR', 'recLnVEajqFEFYMKA']",Whatcom County,,www.villagecirclebellingham.com/,Group Peer Support services including virtual and in-person support group meetings for any birthing person and/or anyone identifying as a mother. ,['recY1CArjt5JfjAdU'],thevillagecirclebellingham@gmail.com,,4.0,2023-03-30T18:08:51.000Z,recB2M8bWgPAkv0R6
32,Bellingham Community Meal,,Vetted,"['recZB5NqLrdl1vU6G', 'rec6cdlFbSXkZ6WAY']",Whatcom County,['rec76DXX1JtzUCMm4'],https://bellinghamcommunitymeal.square.site,"Provides a hearty meal for the community the last Saturday of the month, January through October.",['recn73qtDPpPVEmKh'],volunteerbcmp@gmail.com,['recU1aSH79Po5wH4y'],4.0,2022-03-31T22:27:45.000Z,recBK5WKpMDUGZKgg
33,Dominic's Closet,,Vetted,"['recSHtmpWI3S3MsgE', 'recZ2EkauSV0xFSCN']",Whatcom County,,https://www.facebook.com/dominics.closet.nonprofit,A non-profit charity to help get medical supplies to those in need.,['recbooCTIzp6CTYfO'],dominics.closet.nonprofit@gmail.com,,4.0,2022-09-21T22:26:35.000Z,recBfTO9VIyIMZZ0U
34,Washington Talking Book and Braille Library,,Vetted,['recTLlJ4jKJkU4hUK'],Washington State,"['rec17Eu5YTjJdkKj8', 'reckIf220dlfzH3VL']",http://www.wtbbl.org/,Builds community and provides equitable access to information and reading materials for Washington residents unable to read standard print.,['recHyEdea2rS0mtGs'],,['recCzIMS2BbGkiZXr'],5.0,2022-12-07T23:22:27.000Z,recBxBEiZgBVEpehK
35,Mending Babyloss ,,Vetted,"['recCvpxYm9wvbGdZq', 'recPIOd7OljaoJ0Ex']",Whatcom County,['recyeGEcfybeRWLKm'],mendingbabyloss.org/,A non-denominational support group for grieving parents in Whatcom County.,"['recGianFqudMk59Nz', 'reckWwfJbtZUk6aM4', 'recTh90kWWui8jOwi']",mendingbabyloss@gmail.com,['reclyA39ZhNSgHdnQ'],4.0,2022-09-22T17:27:22.000Z,recCVAMk0QaUgl7n1
36,Sea Mar Community Health Center,,Vetted,"['recZvayOkCUevRK1K', 'rec2kP0UYKKr6kGak']",Whatcom County,,https://www.seamar.org/index.html,"A community-based organization committed to providing quality, comprehensive health, human, educational and cultural services to diverse communities, specializing in service to Latinos in Washington state. 
","['recYEgvoqx2opSatP', 'receddVOtLoOt9BdM', 'recZUv6MSYHxMRkdq', 'recyVgqwP4iOp4Jqf', 'reciGtELnMefdGoYK', 'recMTujnsDXXHOsKK', 'receeonwyp2EAOgd0', 'recvR94HNska7ufRs', 'recsclulVIXBBuZE4', 'recDqSPwruqWPvAZk']",,"['rec7NGbVYLxm9Ks6T', 'recArlXmxEShHy2Ze', 'recTg5b1tcsi5WfiR', 'rechgMR78bp1LFl5Q', 'reclGDpXzJxozNp7t', 'recjy18NS1aMkHeJg']",5.0,2022-03-31T22:31:56.000Z,recCmwGe8B4vXqhAz
37,Northwest Clean Air Agency ,,Vetted,['rec7YOJP8wftZ5dOw'],Washington State,,https://nwcleanairwa.gov,"The primary government agency responsible for protecting the air in Island, Skagit and Whatcom counties.",['recZ0kk92lvPRE5MT'],,['recJlr6WrQhFLC2SU'],4.0,2022-12-05T20:53:05.000Z,recD2jp8VcdUbPkDv
38,Salvation Army,,Vetted,['rec95Y1gmFMdQyNHS'],Whatcom County,['reciIvcRDih62e2cm'],http://bellingham.salvationarmy.org,"Provides food boxes, holiday programs, and Puget Sound Energy Assistance with urgent and/or shut off notice.","['recmHzztkKTOlNhJF', 'recNvDkGaTdsSosvB', 'rec2owvFkaAS2hcQl']",,['recWBs7E3MFFvEMpU'],3.0,2022-03-23T17:59:32.000Z,recDRGaYYXbjEwXR4
39,Whatcom Perinatal Mental Health Taskforce,,Vetted,['recO9dxJgNk3N5bBs'],Whatcom County,,https://whatcomperinatal.org/,"Nonprofit organization that connects with parents, caregivers, and professionals to raise community awareness about becoming a new parent, what perinatal mood and anxiety disorders (PMADs) are, and connect parents with resources, healthcare providers, and peer support groups. ","['rec5UfsujNC3aLjPw', 'recLDY2DWpgk7prdb', 'recL7G11W6rdiXkUZ']",info@whatcomperinatal.org,,4.0,2023-02-15T21:39:43.000Z,recDhBN6qb13RXRWE
40,FACES Northwest,"Families for Autism Care, Education, and Support",Vetted,"['rec4bLsibnKjZkKmi', 'recmSKVPDiTUGfpYH']",Whatcom County,['rec2fyy5s7g3CkU4W'],http://facesnorthwest.com/wp/,Therapeutic recreational day camp for children and young adults with autism.,['recjgsI6RrDGICWA9'],facesassistant@gmail.com,,5.0,2022-09-26T19:24:34.000Z,recEamwWyq8xEFYb9
41,Kids Korner Learning Center ,,Vetted,"['recjLNDIakFXS4j5B', 'recbeTzpZBxYz1vcF']",Whatcom County,"['rec0fiGBTILY6qNpV', 'recmU3ZJGUsA2Gttf']",kidskornerlearningcenter.net/home,"Fulltime childcare for children ages 1 to 5 years, provides Head Start services, toddler and preschool curriculum, meals included, accepts Working Connections Child Care (DSHS).    ","['reckti7F6kdybn2Q7', 'recrV2fEIQGFdbVjE']",kdskrnr1903@yahoo.com,['reclgj0ParkJsstL3'],4.0,2022-09-29T22:07:59.000Z,recEoZscI9HHjgXwr
42,National Alliance for Children’s Grief,NACG,Vetted,"['recxgsuH81SHlgfCZ', 'recV3iOn044RPQhs6']",National,['recVSeUlqkucehQbL'],https://nacg.org,"A nonprofit organization that raises awareness about the needs of children and teens who are grieving a death, and provides education and resources for anyone who supports them. ","['recwMJ4XVRE2JA1sy', 'rec4EdrB3DdND5j2P']",info@childrengrieve.org,,5.0,2022-09-27T21:19:53.000Z,recEr5MiqW8WOWmzb
43,Washington State Department of Labor and Industries (L&I),L&I,Vetted,['recAc1Z5XdC1VD6tz'],Washington State,['reclbyYUGakucIbU0'],http://www.lni.wa.gov/,"A state agency dedicated to the safety, health, and security of Washington workers. Helps employers meet safety and health standards, inspects workplaces when alerted to hazards, and administers the state's workers' compensation system","['recleoKly6HO4biQg', 'recgX6wixXFhOfIML']",,['rec2PqMEicZB9Nh3D'],5.0,2022-12-01T23:32:21.000Z,recEzPeS7xAX8un2Y
44,Lynden School District,,Vetted,['recvEe2x4UmvepyfS'],Whatcom County,,https://lynden.wednet.edu,"Public school district for Lynden, WA.","['recReyhpE0xb0Lj69', 'recxOjOlJFxGln4T6', 'recKclZGHPGaapYDx', 'recBEQmdDv85dgxOb']",,,4.0,2022-03-23T17:14:32.000Z,recF2KxgaUqKwQwx2
45,Washington Autism Alliance,,Vetted,"['recnvnuRwfXYrbbXq', 'recF2sbyLbP6AuFDY']",Washington State,"['rec8NfY5hsWtGL3lK', 'recvPG8SNrxhvOsl2']",washingtonautismalliance.org/,"Expands access to healthcare, education and services for people with autism spectrum disorders and related intellectual and developmental disabilities in Washington State.","['recAHLtnjzNcDYTeX', 'recux6o8y2FKwf4lP', 'recRRQYKA63xQ311D', 'recHbGBGZVRIZKWcN']",office@washingtonautismadvocacy.org,['recHxLxPIyG1pgECn'],4.0,2022-09-21T16:45:49.000Z,recF3EsD8udj7kQ3S
46,Clarity Mental Health and Recovery,Belair Clinic,Vetted,"['recs7vBYmRT4DmWI3', 'recRU3ahRoHYiKMFN']",Whatcom County,['recLNHfOlYFwILkf3'],https://www.claritymhr.com,"Person-centered counseling for addiction, recovery, and mental health. (Formerly Belair Clinic)","['recBEJKNupo0sBupW', 'recfjrau493FMcVPT', 'rec3LJ6tekrEiz8dB', 'rec0V6EBW8aPhPW6W', 'recPYq6CyJJQpDTaJ', 'recCCRxT22odvfj9Q', 'rec851Z3opyR6AsaX']",info@claritymhr.com,['recVmhpdNqyUh5suu'],5.0,2022-10-18T23:11:37.000Z,recFEWIhFsd4KrZfz
47,Dementia Support Northwest,,Vetted,['recPEnBZqD9r9598G'],Washington State,['recac6EGJPviTU3ym'],http://www.alzsociety.org,"Supports people with dementia and their caregivers, families and friends, through education and by working with community partners to expand resources.","['recJlA4BqBZASmYWo', 'rec9E1PB652R1n7yn', 'recIqHrEsWuFjBBUl']",alz@alzsociety.org,['recGMA3JTjRLOvMtG'],5.0,2022-11-23T17:43:28.000Z,recFLU1bFpOUB7KvB
48,Nathaniel's Hope,,Vetted,"['recbI2H0qaj5ubVSD', 'recoXLT8excqE7p8y']",National,['recbmgiT3V8L4bhkN'],https://nathanielshope.org,Educates and equips communities and churches to provide free respite care and programs to enrich the lives of families with children with special needs.,['recgfhWdV0ZamHrTA'],,['recYP8EUyrCajWZcr'],5.0,2022-09-26T19:37:34.000Z,recFVFghCr15dhzxq
49,StrongHearts Native Helpline,,Vetted,['rectcTxJqZTLL9WcT'],National,['recmSfGnUfWaqdpGR'],https://strongheartshelpline.org,A 24/7 confidential and anonymous culturally-appropriate domestic and sexual violence helpline for Native Americans. ,['rechtLQWHT19TNhGO'],,,5.0,2023-02-07T00:09:44.000Z,recFsZhmigXf6sEhB
50,Washington Landlord Association,,Vetted,['reczylYPOxkhsqjqH'],Washington State,['recUOB1cOxvDlQ0FG'],https://walandlord.org,"Committed to protecting landlords' property rights and their ability to 
manage their rentals.",['recxzcLuIZcqgpoPo'],everett@walandlord.com,['recnTLXOVtGm2Ya48'],4.0,2022-12-07T17:01:44.000Z,recHRoQPhiIDHj0Ry
51,Bellingham and Whatcom County Housing Authorities,BWCHA,Vetted,"['reckmnyP0pelnATwn', 'recTbj0um0nakoQdG']",Whatcom County,['recPqe09M9sCTibe7'],http://www.bellinghamhousing.org/,"A local government agency that provides housing in Whatcom County. Programs serve low-income residents, seniors, people with disabilities, and working families in need of affordable housing.","['recu0diW5LIo7gDEJ', 'recUiLRucmfhfCash', 'recyW2wz6D9K8k35v', 'recebuMXD5J1kJdrE']",Info@BellinghamHousing.org,['recqzWIa7fsrQzang'],5.0,2022-10-04T18:28:19.000Z,recIWjeqOP31aZ8g0
52,Everson Senior Center ,,Vetted,"['recgy6Y7kzM64CY5E', 'rechhiFFMQpioVbAC']",Whatcom County,['recvTy303LDZjKIuA'],https://www.whatcomcounty.us/2936/Everson,"Community center for seniors 50+ years of age to come together on Monday mornings to enjoy good company and activities. Activities may include Wii bowling, puzzles, pool, cards, and conversation.","['rec1EIkv2QEEf6RH4', 'recznQxRJSRoIo3jG']",,['recnKgwkUFWn4eEXQ'],4.0,2022-10-26T18:45:00.000Z,recIbTjX4DUr4oZN0
53,Whatcom County Health and Community Services,Whatcom County Health Department,Vetted,"['rec3kn8SzBcfuB58I', 'rec7s5ISzxRnXMGM7']",Whatcom County,['recnwcj9Z9itjXbbY'],http://www.co.whatcom.wa.us/health/,Health Department for Whatcom County.,"['recK4P1RH9GeGj8yO', 'recWAr22tHT0vXxL1', 'rec9DUR16AqKLyTOS', 'recGF9mPH4Toda1iq', 'reckwupH2TklkMdSt', 'rec1IjCVlRYV7i4gg', 'rect8XgczWU0PLm75']",,"['recve7Wz7WaJXckRt', 'recfLyLq0rN4zRvAT']",5.0,2022-05-25T14:51:06.000Z,recJZYNG2DZYzZEuX
54,Meridian School District,,Vetted,['recHZyPRrArDrBATp'],Whatcom County,,https://www.meridian.wednet.edu,Public school district for the Meridian region of Whatcom County.,"['recbmmX3c4U3s19Pf', 'recxsDN1L3JXGjQGf', 'recjkvXB663aLoLVi']",,,4.0,2022-03-23T17:20:20.000Z,recK0ggj1uDRbazF3
