name,services,address,organization,phones,schedule
Compass Health,"Compass Health Child and Family Outpatient Services,Compass Health Adult Intensive Outpatient Program (IOP),Compass Health Adult Outpatient Services,Community Outreach and Recovery Support Team (CORS)",3645 E. McLeod Rd.,Compass Health,,
Compass Health Whatcom WISe Office,Compass Health Children’s Intensive Outpatient Treatment ,4350 Cordata Pkwy,Compass Health,,
Conservation Northwest,,1208 Bay St.,,,
Contact Counseling Recovery Services,"Drug and Alcohol Assessments - Contact Counseling,Drug and Alcohol Counseling - Contact Counseling,Intervention Services - Contact Counseling",316 E McLeod Rd.,Contact Counseling Recovery Services,,
Cordata Elementary School,,,,,
Cornwall Church,,4518 Northwest Drive,,,
Dan Godwin Community Center,"Parent Coalition,Parent to Parent Support Programs,Self-Advocacy Program,Down Syndrome Outreach Program,Medicaid Personal Care Parent Training,The Arc Legislative Advocacy",2602 McLeod Rd.,The Arc of Whatcom County,,
Deming Library,"WCLS WiFi and Laptops,WCLS Printing Services,WCLS Meeting Spaces,WCLS Learning Resources,WCLS Library Cards",5044 Mt. Baker Hwy.,Whatcom County Library System,(360) 592-2422,"recBPXTxjwtaZ8df5,rec5PkuiIHUNuo2sL,recPirmc69N1z4YQM"
Department of Labor and Industries,,1720 Ellis St.,Washington State Department of Labor and Industries (L&I),,recJFFsJCQ1IFk3E5
Disability Rights Washington,,315 5th Ave.,Disability Rights Washington  ,,
DSHS Home and Community Services Office,Aging and Long-Term Support Administration,2219 Rimland Dr.,,(360) 812-4940,recjbnI9eO2UMZ9BD
DSHS Island County,,275 SE Pioneer Way ,,,
DVSAS,"DVSAS Support Groups,DVSAS Advocacy Counseling,DVSAS 24-Hour Helpline,Legal Assistance at DVSAS,Ask an Advocate at DVSAS,DVSAS Safe Housing Program,DVSAS Professional Trainings",,Domestic Violence and Sexual Assault Services (DVSAS),,
East Whatcom Regional Resource Center,"East Whatcom Regional Resource Center,WTA Bus Passes - Opportunity Council",8251 Kendall Rd.,,,"recFgxeOJxk56TdBx,recKoYK2gYkCDYuv2,recBS52LCKAlhVA8t"
Evergreen Supported Living,Evergreen Supported Living,305 Flora St.,Evergreen Supported Living ,,
Evergreen Wellness Advocates,,115 Unity St. ,,,
Everson Library,"WCLS WiFi and Laptops,WCLS Printing Services,WCLS Learning Resources,WCLS Library Cards",104 Kirsch Dr.,Whatcom County Library System,(360) 966-5100,"recBPXTxjwtaZ8df5,rec5PkuiIHUNuo2sL,recPirmc69N1z4YQM"
Everson Senior Center,Everson Senior Center,111 W. Main St.,Everson Senior Center ,,recOftUT3xGVgMroJ
Everson Seventh Day Adventist Community Services Center,"ESL/ELL Classes - A Watered Garden,Conversational Spanish Classes - A Watered Garden,GED Class - A Watered Garden,U.S. Citizenship Class - A Watered Garden,Making SMILIES Learning Pathways Class,Basic Computer Skills - A Watered Garden,Community Garden - A Watered Garden,Nutrition Classes - A Watered Garden",700 Strandell St.,A Watered Garden Family Learning Center,,recLG6gJNClg9HVOk
Express Employment Professionals,Express Employment Professionals,4152 Meridian St.,Express Employment Professionals ,,recBGLb85akaumbC5
Fairhaven Community Garden,City of Bellingham Community Garden Program,10th St. and Wilson Ave.,,,
Faith Lutheran Church,Maple Alley Inn,2750 McLeod Rd,,,rec5iYRDkPTeemj0J
Family Resource Center - Carl Cozier Elementary School,Bellingham Family Resource Centers,1330 Lincoln St.,,(360) 676-5085,rec1qWNYTVW8kH5ZT
Family Resource Center - Shuksan Middle School,Bellingham Family Resource Centers,2717 Alderwood Ave.,,(360) 676-6456,rec1qWNYTVW8kH5ZT
Ferndale Boys and Girls Club,Boys and Girls Club Clubhouses,2015 Cherry Street,,(360) 384-0753,rectuYWyxRQR1AVGk
Ferndale Food Bank,Ferndale Food Bank,1671 Main St.,Ferndale Food Bank ,,recQHl7DrD80rfUW9
Ferndale Library,"WCLS WiFi and Laptops,WCLS Printing Services,WCLS Meeting Spaces,WCLS Learning Resources,WCLS Library Cards",2125 Main St.,Whatcom County Library System,(360) 384-3647,"rec3GSzwhJ9NGxwoc,recJP6jTqszs3UBAk,rec74Shv0e4WHxaer,recDEVLlVZFXdmsGW"
Ferndale Resource Center,"Ferndale Other Bank,Ferndale Resource Center",5694 2nd Ave.,Ferndale Community Services,,"recjZ2tkSsRsR1i70,recsKtvzLm2MwJZTd"
Ferndale Senior Center,"Ferndale Senior Center,Senior Community Meals - Ferndale",1999 Cherry St.,Ferndale Senior Center,,recaJKLQFTpFNvwMS
First Baptist Church,Loaves and Fishes Community Meal,110 Flora St.,Loaves and Fishes Community Meal,,
Foothills Food Bank,"Foothills Food Bank,Foothills Food Bank Mobile Food Pantry",8255 Kendall Rd.,Foothills Food Bank ,,recrxTe4aYB03HQSz
Frank Haskell Eye Clinic,Frank Haskell Eye Clinic,800 E. Chestnut St.,,,recklH71De3RSx34y
Friends of Friends Medical Support Fund,,PO Box 812,,,
Good Cheer Clinton Thrift Store & the Rack,,11042 WA-525 ,,,
Good Cheer Food Bank and Distribution Center,,2812 Grimm Rd.,,,
Good Cheer Thrift Store Langley,,114 Anthes Ave.,,,
Goodwill Job Training and Education Center,"Job and Career Workshops - Goodwill,GED/High School Completion Classes - Goodwill,Job Readiness Lab - Goodwill,English for Speakers of Other Languages (ESOL) Classes  - Goodwill",1115 E. Sunset Dr.,Goodwill Job Training and Education Center ,(360) 738-0483,recWXMS7oUAyNJG4g
Habitat for Humanity Office,Habitat for Humanity Housing Help,1825 Cornwall Ave.,Habitat for Humanity,(360) 715-9170,recG9XC8LyR36DfUW
Habitat for Humanity Store Island County,,1592 Main St. ,,,
Habitat Store,Habitat Store,1825 Cornwall Ave.,Habitat for Humanity,(360) 778-2036,"recNukEz7AOt78ZAH,recsMqcTuItzRpnuz"
Harmony Elementary School,,5060 Sand Rd.,,,
"Hearing, Speech and Deaf Center - North Sound","HSDC Interpreting Services,HSDC Deaf and Hard of Hearing Services,Deaf 101",114 W. Magnolia St.,"""Hearing, Speech and Deaf Center (HSDC)""",,recAQnPl2aDtAV8OM
"Hearing, Speech and Deaf Center - Puget Sound",HSDC Clinic,1625 19th Ave.,,,recUCcjeGRcNaKNO8
Helen's House,Sober Living Program - Contact Counseling,4226 Pickett Rd.,,,
Help House Food Bank,,1091 SE Hathaway St.,,,
Helping Hand South Whidbey,,18341 State Route 525,,,
Hillcrest Church,,1400 Larabee Ave.,,,
HireQuest Inc.,HireQuest,1840 Iron St. ,HireQuest Inc.,,
Hope and Thrive Counseling Center Bellingham,"Depression Counseling - Hope and Thrive Counseling,Anxiety Counseling - Hope and Thrive Counseling,Trauma Therapy - Hope and Thrive Counseling,Children and Teens Counseling - Hope and Thrive Counseling,Perinatal Counseling - Hope and Thrive Counseling,Brainspotting Therapy - Hope and Thrive Counseling,Christian Counseling - Hope and Thrive Counseling,Autism Counseling - Hope and Thrive Counseling",,Hope and Thrive Counseling ,,
Hope and Thrive Counseling Center Lynden,"Depression Counseling - Hope and Thrive Counseling,Anxiety Counseling - Hope and Thrive Counseling,Trauma Therapy - Hope and Thrive Counseling,Children and Teens Counseling - Hope and Thrive Counseling,Perinatal Counseling - Hope and Thrive Counseling,Brainspotting Therapy - Hope and Thrive Counseling,Christian Counseling - Hope and Thrive Counseling,Autism Counseling - Hope and Thrive Counseling",,Hope and Thrive Counseling ,,
Hope House,"Hope House,St. Paul's Alms Ministry",207 Kentucky St.,Hope House,,"recBQTjkvcxKQ8o5g,recXmSlqjQC0sr4kp,recucMEoknuzRUHM4"
HOPE Therapeutic Riding Center,,819 Camano Ave. ,,,
Ideal Option,Ideal Option,3800 Byron Ave.,Ideal Option,(877) 522-1275,rectdPA5KIzTCgAR0
Interfaith Coalition,,495 E Bakerview Rd.,Interfaith Coalition,,
Irene Reither Elementary School,Meridian Family Support Center,954 E. Hemmi Rd.,,,
IRIS,,1050 Larrabee Ave.,IRIS,(360) 935-1688,
Island County Habitat for Humanity,,PO Box 2279,,,
Island County Health Department,,6th and Main St.,,,
Island Library,"WCLS WiFi and Laptops,WCLS Printing Services,WCLS Learning Resources,WCLS Library Cards",2144 S. Nugent Rd.,Whatcom County Library System,(360) 758-7145,"recO9Aa1f92wPUDet,recHZuj9mHgojiYnm,recadnQeYOjzlEbfQ"
Jesus Christ Chief Cornerstone Ministries,Jesus Christ Chief Cornerstone Ministries,4534 Haxton Way,,,
Juvenile Community Justice Center,,311 Grand Ave.,,,
Kaleidoscope Play and Learn Group,Kaleidoscope Play and Learn Groups,820 Boblett St.,Kaleidoscope Play and Learn Group,(360) 332-1300 ext. 1641,rectrp1IQHuzoQvRt
Kelly Services,Kelly Services,2219 Rimland Dr.,Kelly Services Bellingham,,reczhA3n0omeQc18J
Kids in Motion Therapy Clinic,,4152 Meridian Street,Kids in Motion Therapy Clinic,,
Kids Korner Learning Center ,"Kids Korner Toddler Program,Kids Korner Preschool Program",1903 Alabama St.,Kids Korner Learning Center ,,recrGAJdLi02KK9AV
Kulshan Community Land Trust,"Homeownership Program - Kulshan CLT,Housing Counseling - Kulshan Community Land Trust",1715 C Street,Kulshan Community Land Trust ,,recIxk7N9o9JstzrD
Kulshan Pediatric Dentistry,,2210 Kulshan View Dr. ,,,
Lake Padden Park,,4882 Samish Way,,,
Lake Whatcom Center,"Community Case Management - LWC,IOP Program - LWC,PACT Program - LWC,HEART - LWC,Therapy - LWC,Employment Services - LWC",3600 Meridian St. ,Lake Whatcom Center ,,recoSBxzsttdVorKh
Lakeway Community Garden,City of Bellingham Community Garden Program,Lakeway Dr. and Woburn St.,,,
Laurel Community Baptist Church,,162 W. Laurel Rd.,,,
Law Advocates,"Tenant Clinic,Consumer Debt Clinic,Assistance for Victims of Scams or Fraud,Street Law Clinic,Homeless / Unsheltered Legal Outreach,Veteran Advocacy,Simple Wills Clinic,Whatcom Civil Rights Project",1415 Commercial St.,Law Advocates  ,,
Lifeline Connections,"""Mental Health Outpatient Services - Lifeline Connections
"",Peer Pathfinder Program - Lifeline Connections,Medication Assisted Recovery (MAR) - Lifeline Connections,Substance Use Disorder (SUD) Services - Lifeline Connections",4120 Meridian St.,Lifeline Connections,,recndw4fqbOFxFmhx
Lighthouse Mission Ministries,"Ascent Program,Agape Home",910 W. Holly St.,Lighthouse Mission Ministries,,
Little Cheerful,,133 East Holly St.,,,
Little Cheerful Cafe Soup Kitchen,,133 East Holly Street,,,
Lummi Children's Services,Lummi Children's Services,2828 Kwina Rd.,,,
Lummi Community Services,Lummi Community Services,2830 Kwina Rd. ,,,
Lummi Food Bank,Lummi Food Bank,2830 Kwina Rd. ,,,recKKqszVGYUfzLMZ
Lummi Nation ,Lummi Nation Housing Authority,2828 Kwina Rd.,,,
Lummi Tribal Health Center,"Lummi Tribal Health Center,Lummi Tribal Dental Clinic,Lummi Tribal WIC Program",2592 Kwina Rd.,,,recKi5SwrjNmgFhqQ
Lummi Victims of Crime,Lummi Victims of Crime,2665 Kwina Rd.,,,
Lummi Youth Wellness Center,,2530 Kwina Rd.,,,
Lydia Place Bell Tower Office,,1430 Garden St.,Lydia Place  ,,receHEemUMw1YMtLW
Lydia Place Gladstone Office,,1701 Gladstone St.,Lydia Place  ,,receHEemUMw1YMtLW
Lynden Boys and Girls Club,Boys and Girls Club Clubhouses,8800 Bender Road,,(360) 354-9959,recXeb0IohzLvTW3q
Lynden Community /  Senior Center,"Lynden Community / Senior Center,Meals - Lynden Community / Senior Center",401 Grover St.,Lynden Community / Senior Center ,​360-354-2921,recYxMlG2Ue4AoisW
Lynden Library,"WCLS WiFi and Laptops,WCLS Printing Services,WCLS Meeting Spaces,WCLS Learning Resources,WCLS Library Cards",216 4th St.,Whatcom County Library System,(360) 354-4883,"rec3GSzwhJ9NGxwoc,recJP6jTqszs3UBAk,rec74Shv0e4WHxaer,recDEVLlVZFXdmsGW"
Lynden Middle School,Lynden Family Community Services,516 Main St.,,,
Manpower,Manpower Job Placement,216 W. Champion St.,Manpower Staffing Solutions,,recwtzuZKb4zht7mF
Maplewood House,Maplewood House,2710 W. Maplewood Ave.,,,
Max Higbee Center,"Max Higbee Weekday Program,Max Higbee Weekend Program,Higbee Hikers,Max Higbee Virtual Programs,Community Engagement Service",1400 N State St.,Max Higbee Center,,
Mending Babyloss,"Mending Babyloss Support Group,Mending Babyloss Remembrance Ceremony ",214 North Commercial Street,Mending Babyloss ,,recvt7jnJnX5rIcEK
Meridian School District,,214 W. Laurel Rd.,,,
Missing Persons Information Center,,PO Box 42634,Missing Persons Information ,,
Mount Vernon VA Clinic,"VA Advice Nurse,VA Audiology and Speech,VA Mental Health Care,""VA Nutrition, Food, and Dietary Care"",VA Primary Care,VA Social Work,VA Women Veteran Care",307 S. 13th St. ,Mount Vernon VA Clinic,,recqBSFPAnJu7b8tE
Mt. Baker Educational Resource Center,Mt. Baker Educational Resource Center,4888 Deming Rd.,,,
NAMI of Whatcom County,"NAMI Connection Recovery Support Group,NAMI Family Support Group,NAMI Grupo de Apoyo para Familiares,NAMI Family-to-Family Class,NAMI Peer-to-Peer Class,NAMI Basics Class,NAMI Family and Friends Class",800 East Chestnut Street,NAMI of Whatcom County ,,
NAMI of Whatcom County,,PO Box 5571,,,
New Leaf,,660 SE Fidalgo Ave. ,,,
New Way Ministries,"New Way Home Program,New Way Next Steps Program",205 S. BC Ave.,New Way Ministries ,,
Nooksack Behavioral Health,Nooksack Behavioral Health,2505 Sulwhanon Dr.,,,receNHYv18zzp4otP
Nooksack Chemical Dependency,Nooksack Genesis II Chemical Dependency Program,2505 Sulwhanon Dr.,,,receNHYv18zzp4otP
Nooksack Food Bank,Nooksack Food Bank,5061 Deming Rd.,Nooksack Food Bank ,(360) 592-0135,recTLxBro6f610B2I
Nooksack Indian Health Department,"Nooksack Tribal Clinic,Nooksack Tribal Dental Clinic,Nooksack WIC Program,Nooksack Indian Health Department",2510 Sulwhanon Dr.,,(360) 966-2106,receNHYv18zzp4otP
Nooksack Indian Housing Authority,Nooksack Housing Department,4979 Mt. Baker Hwy.,,,
Nooksack Indian Tribe,,5016 Deming Rd.,Nooksack Indian Tribe ,,
Nooksack Tribal Education Department,,5604 Mission Rd.,,,
Nooksack Valley Food Bank Everson,Nooksack Valley Food Bank,100 E. 2nd St. ,Nooksack Valley Food Bank ,,"recHa9avWIxYap4CA,recoK8DNvagSwPKcb"
Nooksack Valley Food Bank Sumas,,134 Harrisson St.,Nooksack Valley Food Bank ,,recBotLot86CLTAsG
Nooksack Veterans Office,Nooksack Tribal Veterans Program, 4979 Mt Baker Hwy.,,,
North Fork Library,"WCLS WiFi and Laptops,WCLS Printing Services,WCLS Meeting Spaces,WCLS Learning Resources,WCLS Library Cards",7506 Kendall Rd.,Whatcom County Library System,(360) 599-2020,"recYftgNX4j4mGI0l,rectYptZyjdH9l05O,recRCgpjDimqCag8x"
Northside Community Church,Buddy Break,950 Kline Rd.,Nathaniel's Hope,,
Northwest Behavioral,Northwest Behavioral,1200 Old Fairhaven Pkwy.,Northwest Behavioral ,(360) 392-2838,
Northwest Clean Air Agency,,1600 S 2nd St.,Northwest Clean Air Agency ,,
Northwest Drive Library Express,"WCLS Printing Services,WCLS WiFi and Laptops,WCLS Learning Resources",5205 Northwest Dr.,Whatcom County Library System,(360) 305-3600,rec2UHehcEUuTpiJc
Northwest Immigrant Rights Project - Seattle Office,,615 2nd Ave.,Northwest Immigrant Rights Project,,
Northwest Justice Project,,1814 Cornwall Ave.,Northwest Justice Project ,,
Northwest Regional Council,"Non-Emergency Medical Transportation - NWRC,Aging and Disability Resources - NWRC,Behavioral Health Counseling - NWRC,Care Coordination - NWRC,Dementia Support Program - NWRC,Family Caregiver Support Program - NWRC,In-Home Care - NWRC,Jail Health - NWRC,Tribal Outreach Program - NWRC",600 Lakeway Dr.,Northwest Regional Council,,
Northwest Therapeutic Riding Center,Adaptive Horsemanship and Riding Lessons,1884 Kelly Rd.,Northwest Therapeutic Riding Center,,
Northwest Youth Services - Administrative Offices,,1020 North State Street,Northwest Youth Services ,,reczJ8U8mD3mLQyxv
Northwest Youth Services - Bellingham Services Office,,108 Prospect Street,Northwest Youth Services ,,
Northwest Youth Services - Skagit Services,,843 South Burlington Boulevard ,,,recGSoPuE1q8cY8Uv
Oak Harbor Head Start and Early Head Start,,600 Cherokee St. ,,,
Opportunity Council Administration Building,Whatcom Volunteer Center,1419 Cornwall Ave.,,,
Opportunity Council Community Resource Center,"Kinship Care,Opportunity Council Community Resource Center,Basic Food Outreach,Opportunity Council Homeless Housing Programs,Energy Assistance - Opportunity Council,Supportive Services for Veteran Families,Needs Based Ferry Passes,WTA Bus Passes - Opportunity Council,Basics for Babies,Laundry Love,Access ID Clinic - Opportunity Council",1111 Cornwall Ave.,Opportunity Council,,receFYK9lgEEv26Bd
Opportunity Council Early Learning and Family Services,"Early Head Start,Head Start,Child Care Aware of NW Washington,Single Entry Access to Services,Early Support for Infants and Toddlers - Opportunity Council,Child Care Nutrition Program,Emergency Child Care Voucher",1201 Cornwall Ave.,Opportunity Council,,rectwP3ckkng6PIIW
Opportunity Council Island County,,,,,
Our Savior Lutheran Church,Southside Community Meal,1720 Harris Ave.,Southside Community Meal,,
Our Treehouse,"Our Treehouse Young Adult Night,Our Treehouse Teen Night,Our Treehouse Family Night",909 Squalicum Way,Our Treehouse,(360) 223-6681,
Oxford House Connelly,Oxford House Connelly,2804 Connelly Ave.,Oxford House,,
Oxford House Journey,Oxford House Journey,2412 Yew Street Rd.,Oxford House,,
Oxford House View Ridge,Oxford House View Ridge,2323 View Ridge Dr. ,Oxford House,,
Parenting Academy,"Parent Coaching - Parenting Academy,Parent-Child Interaction Therapy - Parenting Academy,Coaching for Parents with Teens - Parenting Academy",114 W Magnolia St.,Parenting Academy,,
PeaceHealth at Cordata Main,"PeaceHealth Pediatrics,PeaceHealth Family Medicine,PeaceHealth Immediate Primary and Urgent Care,PeaceHealth Primary Care",4545 Cordata Pkwy.,PeaceHealth,,"recF2o2kP6ZLTudyH,rec3slvlHPtoaD5so"
PeaceHealth OB/GYN at Cordata South,PeaceHealth Women's Health,4465 Cordata Pkwy.,,(360) 752-5280,rec1U0r2kKTPuvQHR
PeaceHealth Same-Day Care at Fairhaven Plaza Clinic,PeaceHealth Immediate Primary and Urgent Care,3125 Old Fairhaven Pkwy.,,(360) 788-8388,reccnI9Sc1NytrSeY
PeopleReady,PeopleReady Job Placement,1530 Birchwood Ave.,PeopleReady,,"rec3j6zltZypVYhLU,recUNs8Bx3OOLozOi"
Point Roberts Library,"WCLS WiFi and Laptops,WCLS Printing Services,WCLS Meeting Spaces,WCLS Learning Resources,WCLS Library Cards",1431 Gulf Rd.,Whatcom County Library System,(360) 945-6545,"rec0xyWmIKZ9X2tOx,recdL6uNo0IqKRSFb"
Pregnancy Care Clinic of South Whidbey,,6th St. and Cascade Ave.,,,
Project Hope,"Project Hope Food Bank,Project Hope Community Assistance,Warm Home Fund",205 S. BC Ave.,Project Hope Lynden ,,"recqMDV4WkXrg0l8k,recJtqDcE2A0uqnAz"
RE Store,"RE Store,Community Jobs Training Program - RE Store",2309 Meridian St.,The RE Store,,rec3DmiGZ9JC3ZdtG
Readiness to Learn South Whidbey,,5380 Maxwelton Rd.,,,
Rebound of Whatcom County,,3225 Woburn St.,Rebound of Whatcom County,(360) 207-1907,recpiylstAWi6RcMz
ReSources,,2309 Meridian St.,,,
Roosevelt Neighborhood Resource Center,MAD HOPE,2303 Moore St.,Whatcom Family and Community Network,(360) 738-1196,
Rooted Emerging,,PO Box 1559,,,
Sacred Heart Catholic Church- Bellingham,,,PREPARES,,
Sacred Heart Church,St. Vincent de Paul Society,1110 14th St.,St. Vincent de Paul Society,,
Salvation Army,"Salvation Army Food Bank,Salvation Army Energy Assistance ,Salvation Army Christmas Assistance",1515 Birchwood Ave.,Salvation Army,,"rec7qRU7b9xeOFfJU,recvHNOWn6Vp3jKDb"
Sea Mar Bellingham Behavioral Health Clinic,"Sea Mar Bellingham Behavioral Health Clinic,Sea Mar Bellingham Behavioral Health Child and Family Services",3350 Airport Dr.,Sea Mar Community Health Center,(360) 734-5458,recwyI7A4I2y7T8cW
Sea Mar Bellingham Dental Clinic,Sea Mar Bellingham Dental Clinic,4455 Cordata Pkwy.,Sea Mar Community Health Center,(360) 788-7101,recSadzaigfK7RuwU
